Kreis,Fälle
Aichach-Friedberg,17
Altötting,7
Amberg Stadt,2
Amberg-Sulzbach,17
Ansbach,8
Ansbach Stadt,3
Aschaffenburg,26
Aschaffenburg Stadt,20
Augsburg,41
Augsburg Stadt,26
Bad Kissingen,9
Bad Tölz,21
Bamberg,15
Bamberg Stadt,10
Bayreuth,9
Bayreuth Stadt,2
Berchtesgadener Land,8
Cham,31
Coburg,12
Dachau,15
Deggendorf,26
Dillingen a.d. Donau,1
Dingolfing-Landau,18
Donau-Ries,9
Ebersberg,39
Eichstätt,6
Erding,35
Erlangen Stadt,13
Erlangen-Höchstadt,14
Forchheim,14
Freising,130
Freyung-Grafenau,14
Fürstenfeldbruck,24
Fürth,4
Fürth Stadt,12
Garmisch-Partenkirchen,20
Günzburg,88
Haßberge,8
Hof,9
Hof Stadt,8
Ingolstadt Stadt,3
Kaufbeuren Stadt,4
Kelheim,10
Kitzingen,7
Kronach,4
Kulmbach,11
Landsberg am Lech,14
Landshut,36
Landshut Stadt,12
Lichtenfels,5
Lindau (Bodensee),23
Main-Spessart,9
Memmingen Stadt,8
Miesbach,47
Miltenberg,15
Mühldorf a.Inn,10
München,133
München Stadt,321
Neu-Ulm,19
Neumarkt i.d.Opf.,18
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,2
Nürnberg Stadt,51
Nürnberger Land,18
Oberallgäu,40
Ostallgäu,16
Passau,22
Passau Stadt,5
Pfaffenhofen a.d.Ilm,19
Regen,20
Regensburg,44
Regensburg Stadt,46
Rhön-Grabfeld,3
Rosenheim,58
Rosenheim Stadt,1
Roth,8
Rottal-Inn,38
Schwabach Stadt,6
Schwandorf,18
Schweinfurt,16
Schweinfurt Stadt,2
Starnberg,62
Straubing Stadt,13
Straubing-Bogen,14
Tirschenreuth,44
Traunstein,20
Unterallgäu,18
Weiden Stadt,7
Weilheim-Schongau,37
Weißenburg-Gunzenhausen,7
Wunsiedel i.Fichtelgebirge,16
Würzburg,65
Würzburg Stadt,42
Summe,2282
