Landkreis/Stadt,Gesamt
Bergstraße,16
Darmstadt (Stadt),8
Darmstadt-Dieburg,8
Frankfurt,51
Fulda,38
Gießen,17
Groß-Gerau,12
Hersfeld-Rotenburg,12
Hochtaunuskreis,20
Region Kassel Stadt und LK,27
Lahn-Dill-Kreis,16
Limburg-Weilburg,5
Main-Kinzig-Kreis,31
Main-Taunus-Kreis,16
Marburg-Biedenkopf,19
Odenwaldkreis,2
Offenbach (Landkreis),16
Offenbach (Stadt),4
Rheingau-Taunus-Kreis,19
Schwalm-Eder-Kreis,16
Vogelsbergkreis,4
Waldeck-Frankenberg,5
Werra-Meißner-Kreis,1
Wetteraukreis,13
Wiesbaden (Stadt),5
Summe,-,381
