Kreis/Stadt,bestätigte Fälle
LK Bergstraße,25
LK Darmstadt-Dieburg,13
LK Fulda,42
LK Gießen,27
LK Groß-Gerau,21
LK Hersfeld-Rotenburg,12
LK Hochtaunuskreis,28
LK Kassel,26
LK Lahn-Dill-Kreis,16
LK Limburg-Weilburg,12
LK Main-Kinzig-Kreis,32
LK Main-Taunus-Kreis,18
LK Marburg-Biedenkopf,23
LK Odenwaldkreis,8
LK Offenbach,26
LK Rheingau-Taunus-Kreis,19
LK Schwalm-Eder-Kreis,32
LK Vogelsbergkreis,9
LK Waldeck-Frankenberg,18
LK Werra-Meißner-Kreis,1
LK Wetteraukreis,13
SK Darmstadt,8
SK Frankfurt am Main,83
SK Kassel,23
SK Offenbach,4
SK Wiesbaden,8
Gesamt,547
Summe,1094
