Kreis/Stadt,bestätigte Fälle,COVID-19 Inzidenz /100.000 Einwohner
LK Bergstraße,26,9,63
LK Darmstadt-Dieburg,17,3,72
LK Fulda,62,27,83
LK Gießen,39,14,49
LK Groß-Gerau,25,9,08
LK Hersfeld-Rotenburg,16,13,25
LK Hochtaunuskreis,40,16,88
LK Kassel,29,6,70
LK Lahn-Dill-Kreis,23,9,07
LK Limburg-Weilburg,32,18,58
LK Main-Kinzig-Kreis,40,9,52
LK Main-Taunus-Kreis,28,11,76
LK Marburg-Biedenkopf,27,10,94
LK Odenwaldkreis,8,8,25
LK Offenbach,32,6,61
LK Rheingau-Taunus-Kreis,21,11,22
LK Schwalm-Eder-Kreis,52,23,89
LK Vogelsbergkreis,13,12,29
LK Waldeck-Frankenberg,21,13,40
LK Werra-Meißner-Kreis,1,0,99
LK Wetteraukreis,26,9,05
SK Darmstadt,14,8,80
SK Frankfurt am Main,95,12,54
SK Kassel,29,14,40
SK Offenbach,4,3,09
SK Wiesbaden,20,7,18
Gesamt,740,12,29
Summe,1480
