Kreis/Stadt,bestätigte Fälle,Inzidenz,Todesfälle
LK Bergstraße,37,13,71,
LK Darmstadt-Dieburg,28,9,40,
LK Fulda,73,32,77,
LK Gießen,39,14,49,
LK Groß-Gerau,48,17,44,
LK Hersfeld-Rotenburg,21,17,39,
LK Hochtaunuskreis,52,21,95,
LK Kassel,38,16,40,
LK Lahn-Dill-Kreis,32,12,61,
LK Limburg-Weilburg,41,23,81,
LK Main-Kinzig-Kreis,47,11,19,
LK Main-Taunus-Kreis,40,16,80,
LK Marburg-Biedenkopf,28,11,35,
LK Odenwaldkreis,8,8,25,
LK Offenbach,43,12,11,1
LK Rheingau-Taunus-Kreis,26,13,89,
LK Schwalm-Eder-Kreis,58,32,21,
LK Vogelsbergkreis,17,16,07,
LK Waldeck-Frankenberg,25,15,95,
LK Werra-Meißner-Kreis,2,1,98,
LK Wetteraukreis,26,8,46,
SK Darmstadt,16,10,05,
SK Frankfurt am Main,122,16,10,
SK Kassel,38,18,86,
SK Offenbach,5,3,86,
SK Wiesbaden,52,18,67,1
Gesamt,962,20,49,2
Summe,1924
