Kreis/Stadt,bestätigte Fälle,Inzidenz,Todesfälle
LK Bergstraße,37,13.7,
LK Darmstadt-Dieburg,63,21.2,
LK Fulda,77,34.6,
LK Gießen,58,21.5,
LK Groß-Gerau,57,20.7,
LK Hersfeld-Rotenburg,25,20.7,
LK Hochtaunuskreis,52,22,
LK Kassel,39,16.8,
LK Lahn-Dill-Kreis,47,18.5,
LK Limburg-Weilburg,45,26.1,
LK Main-Kinzig-Kreis,50,11.9,
LK Main-Taunus-Kreis,54,22.7,
LK Marburg-Biedenkopf,34,13.8,
LK Odenwaldkreis,17,17.5,
LK Offenbach,64,18,1
LK Rheingau-Taunus-Kreis,31,16.6,
LK Schwalm-Eder-Kreis,59,32.8,
LK Vogelsbergkreis,17,16.1,
LK Waldeck-Frankenberg,28,17.9,
LK Werra-Meißner-Kreis,3,3.0,
LK Wetteraukreis,38,12.4,
SK Darmstadt,23,14.5,
SK Frankfurt am Main,148,19.5,
SK Kassel,43,21.3,
SK Offenbach,5,3.9,
SK Wiesbaden,52,18.7,1
Gesamt,1166,24.8,2
