Kreis,Fälle
LK Ammerland,8
LK Aurich,13
LK Celle,14
LK Cloppenburg,2
LK Cuxhaven,6
LK Diepholz,25
LK Emsland,26
LK Friesland,3
LK Gifhorn,16
LK Goslar,7
LK Göttingen,12
LK Grafschaft Bentheim,5
LK Hameln-Pyrmont,9
LK Harburg,18
LK Heidekreis,1
LK Helmstedt,2
LK Hildesheim,28
LK Holzminden,8
LK Leer,3
LK Lüneburg,3
LK Nienburg (Weser),6
LK Northeim,4
LK Oldenburg,8
LK Osnabrück (33),33
LK Osterholz,17
LK Peine,2
LK Rotenburg (Wümme),15
LK Schaumburg,5
LK Stade,29
LK Uelzen,1
LK Vechta,6
LK Verden,13
LK Wittmund,3
LK Wolfenbüttel,1
Region Hannover,121
Braunschweig,8
Delmenhorst,6
Emden,4
Oldenburg,18
Osnabrück,46
Salzgitter,2
Wilhelmshaven,3
Summe,560
