Kreis,Fälle
Aachen & Städteregion Aachen,259
Bielefeld,43
Bochum,29
Bonn,64
Borken (Kreis),123
Bottrop,9
Coesfeld (Kreis),70
Dortmund,65
Duisburg,46
Düren (Kreis),54
Düsseldorf,97
Ennepe-Ruhr-Kreis,22
Essen,115
Euskirchen (Kreis),12
Gelsenkirchen,18
Gütersloh (Kreis),91
Hagen,11
Hamm,16
Heinsberg (Kreis),789
Herford (Kreis),36
Herne ,7
Hochsauerlandkreis (Kreis),54
Höxter,6
Kleve (Kreis),66
Köln,327
Krefeld,36
Leverkusen,31
Lippe (Kreis),85
Märkischer Kreis,21
Mettmann (Kreis),63
Minden-Lübbecke (Kreis),91
Mönchengladbach,37
Mülheim / Ruhr,14
Münster,103
Oberbergischer Kreis,32
Oberhausen,13
Olpe (Kreis),12
Paderborn (Kreis),53
Recklinghausen (Kreis),63
Remscheid,10
Rhein-Erft-Kreis,90
Rheinisch-Bergischer Kreis,52
Rhein-Kreis Neuss,50
Rhein-Sieg-Kreis,90
Siegen-Wittgenstein (Kreis),15
Soest (Kreis),29
Solingen,31
Steinfurt (Kreis),95
Unna (Kreis),20
Viersen (Kreis),43
Warendorf (Kreis),84
Wesel (Kreis),116
Wuppertal,30
Gesamt,3.838
