Kreis,Fälle,Übermittelt
Landeshauptstadt Dresden,11,12                      
Stadt Chemnitz,6,4                      
Stadt Leipzig,31,0                      
Landkreis Bautzen,14,0                      
Erzgebirgskreis,2,0                      
Landkreis Görlitz,6,0                      
Landkreis Leipzig,11,5                      
Landkreis Meißen,9,0                      
Landkreis Mittelsachsen,0,0                      
Landkreis Nordsachsen,2,1                      
Landkreis Sächsische Schweiz-Osterzgebirge,9,0                      
Vogtlandkreis,0,1                      
Landkreis Zwickau,4,0                      
Gesamtzahl der Infektionen,105,23 / 128 Fälle (plus 2 ohne regionale Zuordnung) 130                      
