Kreis,Fälle,Vorabmeldungen
Landeshauptstadt Dresden,                          49                                              ,
Stadt Chemnitz,18                      ,
Stadt Leipzig,72                      ,
Landkreis Bautzen,25 ,+7                      
Erzgebirgskreis,8 ,+3                      
Landkreis Görlitz,9                      ,
Landkreis Leipzig,21                      ,
Landkreis Meißen,12                      ,
Landkreis Mittelsachsen,11 ,+1                      
Landkreis Nordsachsen,5                      ,
Landkreis Sächsische Schweiz-Osterzgebirge,18 ,+1                      
Vogtlandkreis,3                      ,
Landkreis Zwickau,31                      ,
Sachsen gesamt,282 ,296                      
