N,Gemeinde,Land,AGS,Fallzahl,Stand,Erstellt_um
1,Ahrweiler,7,07131000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
2,Alb-Donau-Kreis,8,08425000,6,2020-03-12 15:30:00,2020-03-13 16:00:04
3,Altenkirchen (Westerwald),7,07132000,0,2020-03-13 11:00:00,2020-03-13 16:00:04
4,Alzey-Worms,7,07331000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
5,Bad Dürkheim,7,07332000,7,2020-03-13 11:00:00,2020-03-13 16:00:04
6,Bad Kreuznach,7,07133000,0,2020-03-13 11:00:00,2020-03-13 16:00:04
7,Baden-Baden (Stadtkreis),8,08211000,3,2020-03-12 15:30:00,2020-03-13 16:00:04
8,Bernkastel-Wittlich,7,07231000,3,2020-03-13 11:00:00,2020-03-13 16:00:04
9,Biberach,8,08426000,4,2020-03-12 15:30:00,2020-03-13 16:00:04
10,Birkenfeld,7,07134000,0,2020-03-13 11:00:00,2020-03-13 16:00:04
11,Böblingen,8,08115000,4,2020-03-12 15:30:00,2020-03-13 16:00:04
12,Bodenseekreis,8,08435000,4,2020-03-12 15:30:00,2020-03-13 16:00:04
13,Breisgau-Hochschwarzwald,8,08315000,18,2020-03-12 15:30:00,2020-03-13 16:00:04
14,Calw,8,08235000,12,2020-03-12 15:30:00,2020-03-13 16:00:04
15,Cochem-Zell,7,07135000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
16,Donnersbergkreis,7,07333000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
17,Eifelkreis Bitburg-Prüm,7,07232000,4,2020-03-13 11:00:00,2020-03-13 16:00:04
18,Emmendingen,8,08316000,16,2020-03-12 15:30:00,2020-03-13 16:00:04
19,Enzkreis,8,08236000,3,2020-03-12 15:30:00,2020-03-13 16:00:04
20,Esslingen,8,08116000,47,2020-03-12 15:30:00,2020-03-13 16:00:04
21,Frankenthal (Pfalz) (kreisfreie Stadt),7,07311000,1,2020-03-13 11:00:00,2020-03-13 16:00:04
22,Freiburg im Breisgau (Stadtkreis),8,08311000,18,2020-03-12 15:30:00,2020-03-13 16:00:04
23,Freudenstadt,8,08237000,2,2020-03-12 15:30:00,2020-03-13 16:00:04
24,Germersheim,7,07334000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
25,Göppingen,8,08117000,3,2020-03-12 15:30:00,2020-03-13 16:00:04
26,Heidelberg (Stadtkreis),8,08221000,2,2020-03-12 15:30:00,2020-03-13 16:00:04
27,Heidenheim,8,08135000,8,2020-03-12 15:30:00,2020-03-13 16:00:04
28,Heilbronn,8,08125000,32,2020-03-12 15:30:00,2020-03-13 16:00:04
29,Heilbronn (Stadtkreis),8,08121000,1,2020-03-12 15:30:00,2020-03-13 16:00:04
30,Hohenlohekreis,8,08126000,8,2020-03-12 15:30:00,2020-03-13 16:00:04
31,Kaiserslautern,7,07335000,2,2020-03-13 11:00:00,2020-03-13 16:00:04
32,Kaiserslautern (kreisfreie Stadt),7,07312000,6,2020-03-13 11:00:00,2020-03-13 16:00:04
33,Karlsruhe,8,08215000,16,2020-03-12 15:30:00,2020-03-13 16:00:04
34,Karlsruhe (Stadtkreis),8,08212000,8,2020-03-12 15:30:00,2020-03-13 16:00:04
35,Koblenz (kreisfreie Stadt),7,07111000,8,2020-03-13 11:00:00,2020-03-13 16:00:04
36,Konstanz,8,08335000,2,2020-03-12 15:30:00,2020-03-13 16:00:04
37,Kusel,7,07336000,1,2020-03-13 11:00:00,2020-03-13 16:00:04
38,Landau in der Pfalz (kreisfreie Stadt),7,07313000,0,2020-03-13 11:00:00,2020-03-13 16:00:04
39,Lörrach,8,08336000,4,2020-03-12 15:30:00,2020-03-13 16:00:04
40,Ludwigsburg,8,08118000,18,2020-03-12 15:30:00,2020-03-13 16:00:04
41,Ludwigshafen am Rhein (kreisfreie Stadt),7,07314000,1,2020-03-13 11:00:00,2020-03-13 16:00:04
42,Main-Tauber-Kreis,8,08128000,24,2020-03-12 15:30:00,2020-03-13 16:00:04
43,Mainz-Bingen,7,07339000,10,2020-03-13 11:00:00,2020-03-13 16:00:04
44,Mainz (kreisfreie Stadt),7,07315000,11,2020-03-13 11:00:00,2020-03-13 16:00:04
45,Mannheim (Stadtkreis),8,08222000,12,2020-03-12 15:30:00,2020-03-13 16:00:04
46,Mayen-Koblenz,7,07137000,7,2020-03-13 11:00:00,2020-03-13 16:00:04
47,Neckar-Odenwald-Kreis,8,08225000,2,2020-03-12 15:30:00,2020-03-13 16:00:04
48,Neustadt an der Weinstraße (kreisfreie Stadt),7,07316000,1,2020-03-13 11:00:00,2020-03-13 16:00:04
49,Neuwied,7,07138000,8,2020-03-13 11:00:00,2020-03-13 16:00:04
50,Ortenaukreis,8,08317000,13,2020-03-12 15:30:00,2020-03-13 16:00:04
51,Ostalbkreis,8,08136000,7,2020-03-12 15:30:00,2020-03-13 16:00:04
52,Pforzheim (Stadtkreis),8,08231000,4,2020-03-12 15:30:00,2020-03-13 16:00:04
53,Pirmasens (kreisfreie Stadt),7,07317000,0,2020-03-13 11:00:00,2020-03-13 16:00:04
54,Rastatt,8,08216000,11,2020-03-12 15:30:00,2020-03-13 16:00:04
55,Ravensburg,8,08436000,5,2020-03-12 15:30:00,2020-03-13 16:00:04
56,Rems-Murr-Kreis,8,08119000,10,2020-03-12 15:30:00,2020-03-13 16:00:04
57,Reutlingen,8,08415000,7,2020-03-12 15:30:00,2020-03-13 16:00:04
