,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
1,07111000,Koblenz (kreisfreie Stadt),7,36,2020-03-20,114024, 7.570212,50.36019,3.2,31.6,2020-03-21 09:45:06
2,07131000,Ahrweiler,7,31,2020-03-20,129727, 7.070170,50.49524,2.4,23.9,2020-03-21 09:45:06
3,07132000,Altenkirchen (Westerwald),7,13,2020-03-20,128705, 7.839916,50.79483,1,10.1,2020-03-21 09:45:06
4,07133000,Bad Kreuznach,7,23,2020-03-20,158080, 7.657812,49.81823,1.5,14.5,2020-03-21 09:45:06
5,07134000,Birkenfeld,7,5,2020-03-20, 80720, 7.281271,49.71580,0.6,6.2,2020-03-21 09:45:06
6,07135000,Cochem-Zell,7,38,2020-03-20, 61587, 7.178459,50.14493,6.2,61.7,2020-03-21 09:45:06
7,07137000,Mayen-Koblenz,7,105,2020-03-20,214259, 7.366505,50.33866,4.9,49,2020-03-21 09:45:06
8,07138000,Neuwied,7,53,2020-03-20,181941, 7.403585,50.53519,2.9,29.1,2020-03-21 09:45:06
9,07140000,Rhein-Hunsrück-Kreis,7,37,2020-03-20,102937, 7.500203,50.04624,3.6,35.9,2020-03-21 09:45:06
10,07141000,Rhein-Lahn-Kreis,7,32,2020-03-20,122308, 7.793642,50.24340,2.6,26.2,2020-03-21 09:45:06
11,07143000,Westerwaldkreis,7,51,2020-03-20,201597, 7.846595,50.54133,2.5,25.3,2020-03-21 09:45:06
12,07211000,Trier (kreisfreie Stadt),7,11,2020-03-20,110636, 6.653437,49.74820,1,9.9,2020-03-21 09:45:06
13,07231000,Bernkastel-Wittlich,7,16,2020-03-20,112262, 7.015531,49.93051,1.4,14.3,2020-03-21 09:45:06
14,07232000,Eifelkreis Bitburg-Prüm,7,32,2020-03-20, 98561, 6.385168,50.06023,3.2,32.5,2020-03-21 09:45:06
15,07233000,Vulkaneifel,7,22,2020-03-20, 60603, 6.743509,50.22864,3.6,36.3,2020-03-21 09:45:06
16,07235000,Trier-Saarburg,7,19,2020-03-20,148945, 6.832128,49.69098,1.3,12.8,2020-03-21 09:45:06
17,07311000,Frankenthal (Pfalz) (kreisfreie Stadt),7,9,2020-03-20, 48561, 8.347923,49.52536,1.9,18.5,2020-03-21 09:45:06
18,07312000,Kaiserslautern (kreisfreie Stadt),7,13,2020-03-20, 99845, 7.752686,49.43566,1.3,13,2020-03-21 09:45:06
19,07313000,Landau in der Pfalz (kreisfreie Stadt),7,4,2020-03-20, 46677, 8.111519,49.20292,0.9,8.6,2020-03-21 09:45:06
20,07314000,Ludwigshafen am Rhein (kreisfreie Stadt),7,13,2020-03-20,171061, 8.404125,49.47859,0.8,7.6,2020-03-21 09:45:06
21,07315000,Mainz (kreisfreie Stadt),7,55,2020-03-20,217118, 8.234434,49.98863,2.5,25.3,2020-03-21 09:45:06
22,07316000,Neustadt an der Weinstraße (kreisfreie Stadt),7,7,2020-03-20, 53148, 8.154843,49.35283,1.3,13.2,2020-03-21 09:45:06
23,07317000,Pirmasens (kreisfreie Stadt),7,1,2020-03-20, 40403, 7.579978,49.20290,0.2,2.5,2020-03-21 09:45:06
24,07318000,Speyer (kreisfreie Stadt),7,8,2020-03-20, 50378, 8.429306,49.33034,1.6,15.9,2020-03-21 09:45:06
25,07319000,Worms (kreisfreie Stadt),7,1,2020-03-20, 83330, 8.322668,49.64386,0.1,1.2,2020-03-21 09:45:06
26,07320000,Zweibrücken (kreisfreie Stadt),7,0,2020-03-20, 34209, 7.373513,49.24646,0,0,2020-03-21 09:45:06
27,07331000,Alzey-Worms,7,59,2020-03-20,129244, 8.109496,49.78882,4.6,45.7,2020-03-21 09:45:06
28,07332000,Bad Dürkheim,7,56,2020-03-20,132660, 8.155013,49.48546,4.2,42.2,2020-03-21 09:45:06
29,07333000,Donnersbergkreis,7,12,2020-03-20, 75101, 7.864106,49.64187,1.6,16,2020-03-21 09:45:06
30,07334000,Germersheim,7,22,2020-03-20,129075, 8.169007,49.05307,1.7,17,2020-03-21 09:45:06
31,07335000,Kaiserslautern,7,12,2020-03-20,106057, 7.553514,49.44714,1.1,11.3,2020-03-21 09:45:06
32,07336000,Kusel,7,18,2020-03-20, 70526, 7.551707,49.60446,2.6,25.5,2020-03-21 09:45:06
33,07337000,Südliche Weinstraße,7,28,2020-03-20,110356, 7.990985,49.09917,2.5,25.4,2020-03-21 09:45:06
34,07338000,Rhein-Pfalz-Kreis,7,8,2020-03-20,154201, 8.346728,49.39712,0.5,5.2,2020-03-21 09:45:06
35,07339000,Mainz-Bingen,7,37,2020-03-20,210889, 8.073560,49.94680,1.8,17.5,2020-03-21 09:45:06
36,07340000,Südwestpfalz,7,3,2020-03-20, 95113, 7.749804,49.15439,0.3,3.2,2020-03-21 09:45:06
37,08111000,Stuttgart (Stadtkreis),8,308,2020-03-20,634830, 9.172051,48.77677,4.9,48.5,2020-03-21 09:45:06
38,08115000,Böblingen,8,67,2020-03-20,391640, 8.963852,48.68104,1.7,17.1,2020-03-21 09:45:06
39,08116000,Esslingen,8,323,2020-03-20,533859, 9.386777,48.65992,6.1,60.5,2020-03-21 09:45:06
40,08117000,Göppingen,8,97,2020-03-20,257253, 9.692335,48.65604,3.8,37.7,2020-03-21 09:45:06
41,08118000,Ludwigsburg,8,175,2020-03-20,543984, 9.097359,48.94152,3.2,32.2,2020-03-21 09:45:06
42,08119000,Rems-Murr-Kreis,8,117,2020-03-20,426158, 9.504931,48.90458,2.7,27.5,2020-03-21 09:45:06
43,08121000,Heilbronn (Stadtkreis),8,20,2020-03-20,125960, 9.195245,49.14809,1.6,15.9,2020-03-21 09:45:06
44,08125000,Heilbronn,8,118,2020-03-20,343068, 9.333205,49.26194,3.4,34.4,2020-03-21 09:45:06
45,08126000,Hohenlohekreis,8,182,2020-03-20,112010, 9.635750,49.28361,16.2,162.5,2020-03-21 09:45:06
46,08127000,Schwäbisch Hall,8,98,2020-03-20,195861, 9.915306,49.16723,5,50,2020-03-21 09:45:06
47,08128000,Main-Tauber-Kreis,8,36,2020-03-20,132321, 9.682629,49.56470,2.7,27.2,2020-03-21 09:45:06
48,08135000,Heidenheim,8,39,2020-03-20,132472,10.134395,48.66243,2.9,29.4,2020-03-21 09:45:06
49,08136000,Ostalbkreis,8,91,2020-03-20,314002,10.119083,48.90489,2.9,29,2020-03-21 09:45:06
50,08211000,Baden-Baden (Stadtkreis),8,21,2020-03-20, 55123, 8.248205,48.75315,3.8,38.1,2020-03-21 09:45:06
51,08212000,Karlsruhe (Stadtkreis),8,42,2020-03-20,313092, 8.413012,49.01390,1.3,13.4,2020-03-21 09:45:06
52,08215000,Karlsruhe,8,96,2020-03-20,444232, 8.610629,49.11568,2.2,21.6,2020-03-21 09:45:06
53,08216000,Rastatt,8,81,2020-03-20,231018, 8.221457,48.89480,3.5,35.1,2020-03-21 09:45:06
54,08221000,Heidelberg (Stadtkreis),8,3,2020-03-20,160355, 8.692423,49.40106,0.2,1.9,2020-03-21 09:45:06
55,08222000,Mannheim (Stadtkreis),8,80,2020-03-20,309370, 8.501899,49.50020,2.6,25.9,2020-03-21 09:45:06
56,08225000,Neckar-Odenwald-Kreis,8,26,2020-03-20,143535, 9.363464,49.51196,1.8,18.1,2020-03-21 09:45:06
57,08226000,Rhein-Neckar-Kreis,8,215,2020-03-20,547625, 8.814673,49.29937,3.9,39.3,2020-03-21 09:45:06
58,08231000,Pforzheim (Stadtkreis),8,14,2020-03-20,125542, 8.711060,48.87875,1.1,11.2,2020-03-21 09:45:06
59,08235000,Calw,8,92,2020-03-20,158397, 8.639680,48.68342,5.8,58.1,2020-03-21 09:45:06
60,08236000,Enzkreis,8,24,2020-03-20,198905, 8.833841,48.96128,1.2,12.1,2020-03-21 09:45:06
61,08237000,Freudenstadt,8,14,2020-03-20,117935, 8.439107,48.49429,1.2,11.9,2020-03-21 09:45:06
62,08311000,Freiburg im Breisgau (Stadtkreis),8,150,2020-03-20,230241, 7.820164,48.00848,6.5,65.1,2020-03-21 09:45:06
63,08315000,Breisgau-Hochschwarzwald,8,134,2020-03-20,262795, 8.038523,47.95562,5.1,51,2020-03-21 09:45:06
64,08316000,Emmendingen,8,110,2020-03-20,165383, 7.867537,48.14070,6.7,66.5,2020-03-21 09:45:06
65,08317000,Ortenaukreis,8,71,2020-03-20,429479, 8.011236,48.44228,1.7,16.5,2020-03-21 09:45:06
66,08325000,Rottweil,8,4,2020-03-20,139455, 8.548633,48.24676,0.3,2.9,2020-03-21 09:45:06
67,08326000,Schwarzwald-Baar-Kreis,8,39,2020-03-20,212381, 8.452924,48.02816,1.8,18.4,2020-03-21 09:45:06
